report: reports/scan-hash-v72-post-mirror-cleanup.json
count: 4398
total_bytes: 31133090273

- /home/gabriel/Pictures/20140723 and earlier/Thumbs.db | category=unknown | size=1624064 | proposed=None
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01336.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5087 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01336.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01336.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2818 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01336.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01337.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=6010 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01337.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01337.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=3001 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01337.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01338.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5514 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01338.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01338.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2727 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01338.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01339.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=5271 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01339.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01339.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2736 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01339.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01340.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=2218 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01340.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01340.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=1302 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01340.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01341.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=4561 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01341.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01341.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=2448 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01341.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01342.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=7229 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01342.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01342.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=3626 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01342.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01343.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=7291 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01343.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01343.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=3694 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01343.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01344.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=7304 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01344.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01344.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=3687 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01344.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01345.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=7230 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01345.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01345.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=3663 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01345.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01346.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=7374 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01346.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01346.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=3791 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01346.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01347.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=7564 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01347.132e498b334564c498a8087473d7b42c.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01347.cb62bbdd389b48898f2e5244977cb2c5.jpg | category=cache | size=4053 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01347.cb62bbdd389b48898f2e5244977cb2c5.jpg
- /home/gabriel/Pictures/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01348.132e498b334564c498a8087473d7b42c.jpg | category=cache | size=7380 | proposed=App-Caches/Jonel/.wdmc/transcoded_files/d312a08daf7d4218a7d1222eb67d1906/DSC01348.132e498b334564c498a8087473d7b42c.jpg
