report: reports/scan-hash-v72-post-mirror-cleanup.json
count: 1375
total_bytes: 2544872626

By extension:
- .db: 672
- .au: 565
- .pdf: 30
- <none>: 25
- .mp3: 23
- .xml: 20
- .kdenlive: 12
- .mka: 5
- .wmv: 4
- .lvix: 4
- .wav: 3
- .phd: 2
- .xcf: 2
- .aup: 2
- .log: 2
- .flv: 1
- .ogg: 1
- .osp: 1
- .svg: 1

Files:
- /home/gabriel/Pictures/2008/12/17/Thumbs.db | ext=.db | size=69120 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/12/24/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/01/01/Thumbs.db | ext=.db | size=11776 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/01/11/Thumbs.db | ext=.db | size=13312 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/01/25/Thumbs.db | ext=.db | size=24064 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/02/07/Thumbs.db | ext=.db | size=13312 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/02/14/Thumbs.db | ext=.db | size=78336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/02/22/Thumbs.db | ext=.db | size=13824 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/02/23/Thumbs.db | ext=.db | size=11776 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/02/26/Thumbs.db | ext=.db | size=63488 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/03/01/Thumbs.db | ext=.db | size=31232 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/03/06/Thumbs.db | ext=.db | size=15360 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/03/26/Thumbs.db | ext=.db | size=14336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/03/27/Thumbs.db | ext=.db | size=15872 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/04/07/Thumbs.db | ext=.db | size=15872 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/04/09/Thumbs.db | ext=.db | size=28160 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/04/10/Thumbs.db | ext=.db | size=31232 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/04/12/Thumbs.db | ext=.db | size=19968 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/04/19/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/04/25/Thumbs.db | ext=.db | size=115712 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/03/Thumbs.db | ext=.db | size=17920 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/04/Thumbs.db | ext=.db | size=16896 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/07/Thumbs.db | ext=.db | size=20480 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/10/Thumbs.db | ext=.db | size=58880 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/16/Thumbs.db | ext=.db | size=13824 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/17/Thumbs.db | ext=.db | size=15360 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/19/Thumbs.db | ext=.db | size=18432 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/22/Thumbs.db | ext=.db | size=27136 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/23/Thumbs.db | ext=.db | size=78336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/05/24/Thumbs.db | ext=.db | size=10240 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/06/04/Thumbs.db | ext=.db | size=265728 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/06/05/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/06/06/Thumbs.db | ext=.db | size=14848 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/06/11/Thumbs.db | ext=.db | size=35328 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/06/17/Thumbs.db | ext=.db | size=13824 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/07/06/Thumbs.db | ext=.db | size=38912 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/07/19/Thumbs.db | ext=.db | size=23552 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/08/03/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/08/05/Thumbs.db | ext=.db | size=33280 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/08/06/Thumbs.db | ext=.db | size=98816 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/08/07/Thumbs.db | ext=.db | size=24576 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/08/11/Thumbs.db | ext=.db | size=14848 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/08/12/Thumbs.db | ext=.db | size=55296 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/09/08/Thumbs.db | ext=.db | size=14336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/09/18/Thumbs.db | ext=.db | size=14336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/09/27/Thumbs.db | ext=.db | size=16384 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/10/02/Thumbs.db | ext=.db | size=13312 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/10/27/Thumbs.db | ext=.db | size=37888 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/11/07/Thumbs.db | ext=.db | size=13824 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/11/11/Thumbs.db | ext=.db | size=11264 | date_source=path | proposed=None
- /home/gabriel/Pictures/2009/12/28/Thumbs.db | ext=.db | size=26112 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/01/15/Thumbs.db | ext=.db | size=12800 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/02/02/Thumbs.db | ext=.db | size=14336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/03/25/Thumbs.db | ext=.db | size=9728 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/03/28/Thumbs.db | ext=.db | size=19456 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/01/Thumbs.db | ext=.db | size=26112 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/02/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/03/Thumbs.db | ext=.db | size=29696 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/04/Thumbs.db | ext=.db | size=25088 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/09/Thumbs.db | ext=.db | size=8704 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/10/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/11/Thumbs.db | ext=.db | size=13312 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/14/Thumbs.db | ext=.db | size=15872 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/15/Thumbs.db | ext=.db | size=22528 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/18/Thumbs.db | ext=.db | size=14336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/04/25/Thumbs.db | ext=.db | size=14848 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/05/02/Thumbs.db | ext=.db | size=11776 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/06/20/Thumbs.db | ext=.db | size=14848 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/07/29/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/08/14/Thumbs.db | ext=.db | size=18432 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/08/21/Thumbs.db | ext=.db | size=11776 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/09/05/Thumbs.db | ext=.db | size=13312 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/10/09/Thumbs.db | ext=.db | size=15360 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/10/22/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/10/23/Thumbs.db | ext=.db | size=11264 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/11/05/Thumbs.db | ext=.db | size=43008 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/11/06/Thumbs.db | ext=.db | size=20480 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/11/07/Thumbs.db | ext=.db | size=22016 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/11/12/Thumbs.db | ext=.db | size=27648 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/11/20/Thumbs.db | ext=.db | size=31744 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/11/27/Thumbs.db | ext=.db | size=76288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/11/28/Thumbs.db | ext=.db | size=13312 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/12/03/Thumbs.db | ext=.db | size=6144 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/12/18/Thumbs.db | ext=.db | size=10240 | date_source=path | proposed=None
- /home/gabriel/Pictures/2010/12/25/Thumbs.db | ext=.db | size=11264 | date_source=path | proposed=None
- /home/gabriel/Pictures/201003/Thumbs.db | ext=.db | size=10752 | date_source=path | proposed=None
- /home/gabriel/Pictures/20100613/Thumbs.db | ext=.db | size=96768 | date_source=path | proposed=None
- /home/gabriel/Pictures/20100704/Thumbs.db | ext=.db | size=1969152 | date_source=path | proposed=None
- /home/gabriel/Pictures/20100802/Thumbs.db | ext=.db | size=534016 | date_source=path | proposed=None
- /home/gabriel/Pictures/20101003/Thumbs.db | ext=.db | size=456192 | date_source=path | proposed=None
- /home/gabriel/Pictures/2011/02/02/Thumbs.db | ext=.db | size=7680 | date_source=path | proposed=None
- /home/gabriel/Pictures/2011/07/15/Thumbs.db | ext=.db | size=18432 | date_source=path | proposed=None
- /home/gabriel/Pictures/2011/08/03/Jahna.wmv | ext=.wmv | size=8550075 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/01/01/Thumbs.db | ext=.db | size=164352 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/01/02/Thumbs.db | ext=.db | size=7168 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/01/08/Thumbs.db | ext=.db | size=23552 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/01/09/Thumbs.db | ext=.db | size=58880 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/01/29/Thumbs.db | ext=.db | size=11264 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/05/Thumbs.db | ext=.db | size=23552 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/06/Thumbs.db | ext=.db | size=24064 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/12/Thumbs.db | ext=.db | size=41984 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/14/Thumbs.db | ext=.db | size=10752 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/15/Thumbs.db | ext=.db | size=16384 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/16/Thumbs.db | ext=.db | size=8704 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/17/Thumbs.db | ext=.db | size=34304 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/19/Thumbs.db | ext=.db | size=10240 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/21/Thumbs.db | ext=.db | size=32256 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/23/Thumbs.db | ext=.db | size=24576 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/02/25/Thumbs.db | ext=.db | size=24576 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/03/04/Thumbs.db | ext=.db | size=13824 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/03/06/Thumbs.db | ext=.db | size=39424 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/03/07/Thumbs.db | ext=.db | size=16896 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/03/15/Thumbs.db | ext=.db | size=18944 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/03/24/Thumbs.db | ext=.db | size=12800 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/03/25/Thumbs.db | ext=.db | size=9216 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/03/26/Thumbs.db | ext=.db | size=20480 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/03/28/Thumbs.db | ext=.db | size=9216 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/04/09/Thumbs.db | ext=.db | size=12288 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/04/12/Thumbs.db | ext=.db | size=12800 | date_source=path | proposed=None
- /home/gabriel/Pictures/2012/04/14/Thumbs.db | ext=.db | size=20480 | date_source=path | proposed=None
